level_0,index,Year,Christianity_pop,Judaism_pop,Islam_pop,Buddhism_pop,Zoroastrian_pop,Hindu_pop,Sike_pop,Shinto_pop,Baha'i_pop,Taoism_pop,Confucianism_pop,Jain_pop,Syncretic Religions_pop,Animist_pop,Non Religious_pop,Other Religions_pop,Total Religious_pop,Population_pop,Christianity _pct,Judaism _pct,Islam _pct,Buddhism _pct,Zoroastrian _pct,Hindu _pct,Sike _pct,Shinto _pct,Baha'i _pct,Taoism _pct,Confucianism _pct,Jain _pct,Syncretic Religions _pct,Animist _pct,Non Religious _pct,Other Religions _pct,Total Religious _pct,Country,Region,SubRegion
31,138,1995,776469,602,82830,3966,0,323710,0,0,0,5039,0,0,0,0,22142,45242,1214758,1260000,0.6162,0.0005,0.0657,0.0031,0.0,0.2569,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0176,0.0359,0.9641,Trinidad and Tobago,Latin America and the Caribbean,Caribbean
32,139,2000,792540,605,85470,4032,0,331520,0,0,0,5078,0,0,0,0,28490,47265,1247735,1295000,0.612,0.0005,0.066,0.0031,0.0,0.256,0.0,0.0,0.0,0.0039,0.0,0.0,0.0,0.0,0.022,0.0365,0.9635,Trinidad and Tobago,Latin America and the Caribbean,Caribbean
33,140,2005,754060,611,75085,4118,0,283514,0,0,0,2539,0,0,0,0,100296,73777,1220223,1294000,0.5827,0.0005,0.058,0.0032,0.0,0.2191,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0775,0.057,0.943,Trinidad and Tobago,Latin America and the Caribbean,Caribbean
34,141,2010,729270,0,65700,0,0,240100,0,0,0,0,0,0,0,0,175640,94290,1210710,1305000,0.5588,0.0,0.0503,0.0,0.0,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1346,0.0723,0.9277,Trinidad and Tobago,Latin America and the Caribbean,Caribbean
35,146,1990,177173,30,1079,100,0,800,0,0,2500,0,0,0,0,25,14100,61193,195807,257000,0.6894,0.0001,0.0042,0.0004,0.0,0.0031,0.0,0.0,0.0097,0.0,0.0,0.0,0.0,0.0001,0.0549,0.2381,0.7619,Barbados,Latin America and the Caribbean,Caribbean
36,147,1995,183005,31,1885,104,0,859,0,0,1250,0,0,0,0,26,58698,18142,245858,264000,0.6932,0.0001,0.0071,0.0004,0.0,0.0033,0.0,0.0,0.0047,0.0,0.0,0.0,0.0,0.0001,0.2223,0.0687,0.9313,Barbados,Latin America and the Caribbean,Caribbean
37,148,2000,188838,32,1782,108,0,918,0,0,0,0,0,0,0,28,55566,22728,247272,270000,0.6994,0.0001,0.0066,0.0004,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.2058,0.0842,0.9158,Barbados,Latin America and the Caribbean,Caribbean
38,149,2005,187296,31,2041,114,0,1059,0,0,0,0,0,0,0,24,57375,25060,247940,273000,0.6861,0.0001,0.0075,0.0004,0.0,0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.2102,0.0918,0.9082,Barbados,Latin America and the Caribbean,Caribbean
39,150,2010,185756,30,2300,120,0,1200,0,0,0,0,0,0,0,0,59184,40115,248590,288705,0.6434,0.0001,0.008,0.0004,0.0,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.205,0.1389,0.8611,Barbados,Latin America and the Caribbean,Caribbean
40,153,1990,69480,0,0,90,0,140,0,0,0,0,0,0,0,0,0,2290,69710,72000,0.965,0.0,0.0,0.0013,0.0,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0318,0.9682,Dominica,Latin America and the Caribbean,Caribbean
