,year,country,gdp,un_region,hdi,conflict_present,religion,relig_pop
161,1995,Chile,73820425701.6603,Latin America and the Caribbean,0.0,0.0,Christianity,13585000
162,2000,Chile,78339750721.364,Latin America and the Caribbean,0.763,0.0,Christianity,14197856
163,2005,Chile,122294145163.192,Latin America and the Caribbean,0.0,0.0,Christianity,14273550
164,2010,Chile,217051209238.534,Latin America and the Caribbean,0.813,0.0,Christianity,15587652
165,1990,Argentina,141352654305.163,Latin America and the Caribbean,0.724,0.0,Christianity,29470753
166,1995,Argentina,258031750000.0,Latin America and the Caribbean,0.0,0.0,Christianity,31986560
167,2000,Argentina,284203750000.0,Latin America and the Caribbean,0.78,0.0,Christianity,33280506
168,2005,Argentina,198737095012.282,Latin America and the Caribbean,0.0,0.0,Christianity,32627326
169,2010,Argentina,423627422092.49,Latin America and the Caribbean,0.834,0.0,Christianity,34400709
170,1990,Uruguay,9298807850.29979,Latin America and the Caribbean,0.702,0.0,Christianity,2262800
171,1995,Uruguay,19297663096.5506,Latin America and the Caribbean,0.0,0.0,Christianity,2286480
172,2000,Uruguay,22823270892.1094,Latin America and the Caribbean,0.754,0.0,Christianity,2470035
173,2005,Uruguay,17362857683.8545,Latin America and the Caribbean,0.0,0.0,Christianity,2705243
174,2010,Uruguay,41950361211.9581,Latin America and the Caribbean,0.785,0.0,Christianity,2746709
175,1990,United Kingdom,1093169389204.55,Europe,0.804,1.0,Christianity,48498500
176,1995,United Kingdom,1349094208616.06,Europe,0.0,0.0,Christianity,48904250
177,2000,United Kingdom,1671597821152.97,Europe,0.863,0.0,Christianity,42458524
178,2005,United Kingdom,2551361818181.82,Europe,0.0,0.0,Christianity,40989298
179,2010,United Kingdom,2496740681057.14,Europe,0.913,0.0,Christianity,38957273
180,1990,Ireland,49305632408.4929,Europe,0.743,0.0,Christianity,3335763
181,1995,Ireland,69139823232.3232,Europe,0.0,0.0,Christianity,3486468
182,2000,Ireland,100207610429.909,Europe,0.851,0.0,Christianity,3529605
183,2005,Ireland,211876989655.907,Europe,0.0,0.0,Christianity,3855152
184,2010,Ireland,221732824603.484,Europe,0.908,0.0,Christianity,4150307
185,1990,Netherlands,318799003993.707,Europe,0.847,0.0,Christianity,11346000
186,1995,Netherlands,452967334614.329,Europe,0.0,0.0,Christianity,11215247
187,2000,Netherlands,417649282153.726,Europe,0.892,0.0,Christianity,10625781
188,2005,Netherlands,688133699635.797,Europe,0.0,0.0,Christianity,10570926
189,2010,Netherlands,852464982433.335,Europe,0.917,0.0,Christianity,9626041
190,1990,Belgium,205331747947.851,Europe,0.814,0.0,Christianity,8495449
191,1995,Belgium,288025588396.278,Europe,0.0,0.0,Christianity,8222233
192,2000,Belgium,236792460312.471,Europe,0.884,0.0,Christianity,7909604
193,2005,Belgium,385714762230.039,Europe,0.0,0.0,Christianity,8139550
194,2010,Belgium,481556503720.001,Europe,0.913,0.0,Christianity,7526165
195,1990,Luxembourg,12778792853.6939,Europe,0.793,0.0,Christianity,352790
196,1995,Luxembourg,20853093869.7318,Europe,0.0,0.0,Christianity,376823
197,2000,Luxembourg,21230182989.3036,Europe,0.864,0.0,Christianity,404690
198,2005,Luxembourg,37672280120.4794,Europe,0.0,0.0,Christianity,436200
199,2010,Luxembourg,56213985987.4168,Europe,0.912,0.0,Christianity,460637
200,1990,France,1257649439826.53,Europe,0.79,0.0,Christianity,44618413
201,1995,France,1595219345511.89,Europe,0.0,0.0,Christianity,43939194
202,2000,France,1360959069477.49,Europe,0.844,0.0,Christianity,42875006
203,2005,France,2192146403028.17,Europe,0.0,0.0,Christianity,42399613
204,2010,France,2646230027988.34,Europe,0.88,0.0,Christianity,44023361
205,1995,Monaco,3130309995.30848,Europe,0.0,0.0,Christianity,29105
206,2000,Monaco,2654462665.26893,Europe,0.8035476190476191,0.0,Christianity,28250
207,2005,Monaco,4204652898.73103,Europe,0.0,0.0,Christianity,27399
208,2010,Monaco,5367561569.59548,Europe,0.8553333333333333,0.0,Christianity,26550
209,1990,Liechtenstein,1421509216.37424,Europe,0.871,0.0,Christianity,27120
210,1995,Liechtenstein,2428525060.69927,Europe,0.0,0.0,Christianity,28428
211,2000,Liechtenstein,2483889858.32312,Europe,0.871,0.0,Christianity,29285
212,2005,Liechtenstein,3659319116.88057,Europe,0.0,0.0,Christianity,30158
213,2010,Liechtenstein,5082337238.44718,Europe,0.916,0.0,Christianity,31031
214,1990,Switzerland,265763573999.424,Europe,0.85,0.0,Christianity,6064100
215,1995,Switzerland,352835806342.495,Europe,0.0,0.0,Christianity,6091621
216,2000,Switzerland,279216033870.204,Europe,0.885,0.0,Christianity,6119143
217,2005,Switzerland,418284865884.998,Europe,0.0,0.0,Christianity,6408536
218,2010,Switzerland,598851028906.58,Europe,0.94,0.0,Christianity,6303993
219,1990,Spain,536175326477.31,Europe,0.762,0.0,Christianity,37464150
220,1995,Spain,614170002668.802,Europe,0.0,0.0,Christianity,37249500
221,2000,Spain,598102854756.08,Europe,0.828,0.0,Christianity,34100000
222,2005,Spain,1154667551775.88,Europe,0.0,0.0,Christianity,36380000
223,2010,Spain,1427989078916.67,Europe,0.868,0.0,Christianity,37121529
224,1995,Andorra,1178745282.8678,Europe,0.0,0.0,Christianity,62680
225,2000,Andorra,1432606296.26722,Europe,0.815,0.0,Christianity,72946
226,2005,Andorra,3161084846.97686,Europe,0.0,0.0,Christianity,74445
227,2010,Andorra,3449925693.58181,Europe,0.863,0.0,Christianity,77546
228,1990,Portugal,78713860216.5659,Europe,0.703,0.0,Christianity,9344537
229,1995,Portugal,118122007430.012,Europe,0.0,0.0,Christianity,9263964
230,2000,Portugal,118605192877.388,Europe,0.793,0.0,Christianity,8437963
231,2005,Portugal,197253876704.921,Europe,0.0,0.0,Christianity,8780641
232,2010,Portugal,238443864993.217,Europe,0.831,0.0,Christianity,9123319
233,1990,Germany,1778162195860.07,Europe,0.828,0.0,Christianity,62557600
234,1995,Germany,2593053091306.13,Europe,0.0,0.0,Christianity,60917960
235,2000,Germany,1966980701145.1,Europe,0.89,0.0,Christianity,56327135
236,2005,Germany,2893393187361.87,Europe,0.0,0.0,Christianity,54399203
237,2010,Germany,3467093769666.67,Europe,0.929,0.0,Christianity,57827992
238,1990,Germany,1778162195860.07,Europe,0.828,0.0,Christianity,57550000
239,1990,Poland,65977748210.5263,Europe,0.715,0.0,Christianity,37050000
240,1995,Poland,142838527115.448,Europe,0.0,0.0,Christianity,37293803
241,2000,Poland,172953527033.013,Europe,0.794,0.0,Christianity,36631210
242,2005,Poland,306999913150.525,Europe,0.0,0.0,Christianity,35958000
243,2010,Poland,478111630683.514,Europe,0.845,0.0,Christianity,34539629
244,1990,Austria,165811372382.912,Europe,0.823,0.0,Christianity,6433500
245,1995,Austria,240094169510.031,Europe,0.0,0.0,Christianity,6996880
246,2000,Austria,196181599831.287,Europe,0.87,0.0,Christianity,6445987
247,2005,Austria,313952317330.776,Europe,0.0,0.0,Christianity,6285258
248,2010,Austria,389827789217.634,Europe,0.903,0.0,Christianity,6124531
249,1990,Hungary,34478360678.756,Europe,0.721,0.0,Christianity,8053776
250,1995,Hungary,46577614588.9926,Europe,0.0,0.0,Christianity,7811791
251,2000,Hungary,47275954428.9586,Europe,0.773,0.0,Christianity,7462967
252,2005,Hungary,113098237570.929,Europe,0.0,0.0,Christianity,7066031
253,2010,Hungary,131898737241.166,Europe,0.829,0.0,Christianity,6669095
254,1990,Slovakia,12915046978.1615,Europe,0.761,0.0,Christianity,11078173
255,1995,Czechia,60572381311.2283,Europe,0.0,0.0,Christianity,3076314
256,2000,Czechia,62175642238.0847,Europe,0.81,0.0,Christianity,3098330
257,2005,Czechia,137264185596.1,Europe,0.0,0.0,Christianity,2675520
258,2010,Czechia,211168667286.27,Europe,0.872,0.0,Christianity,2252712
259,1995,Slovakia,26180022222.2222,Europe,0.0,0.0,Christianity,3899119
260,2000,Slovakia,29215726004.7765,Europe,0.761,0.0,Christianity,4519352
261,2005,Slovakia,62547753148.4638,Europe,0.0,0.0,Christianity,4307433
262,2010,Slovakia,91112160800.7668,Europe,0.841,0.0,Christianity,4101842
263,1990,Italy,1183945130898.51,Europe,0.78,0.0,Christianity,48669553
264,1995,Italy,1177369428265.78,Europe,0.0,0.0,Christianity,47718067
265,2000,Italy,1149661363439.38,Europe,0.842,0.0,Christianity,48955835
266,2005,Italy,1864982261286.85,Europe,0.0,0.0,Christianity,50346000
267,2010,Italy,2144936254535.0,Europe,0.88,0.0,Christianity,48018881
268,1995,San Marino,0.0,Europe,0.0,0.0,Christianity,22799
269,2000,San Marino,1007661366.66959,Europe,0.875,0.0,Christianity,25650
270,2005,San Marino,1786514058.22344,Europe,0.0,0.0,Christianity,29450
271,2010,San Marino,1881191925.32503,Europe,0.901,0.0,Christianity,28088
272,1990,Malta,2547328747.50761,Europe,0.726,0.0,Christianity,350140
273,1995,Malta,3709396044.85885,Europe,0.0,0.0,Christianity,365041
274,2000,Malta,4036809815.46617,Europe,0.779,0.0,Christianity,371280
275,2005,Malta,6393234992.55141,Europe,0.0,0.0,Christianity,387285
276,2010,Malta,9097044159.26912,Europe,0.862,0.0,Christianity,401633
277,1990,Albania,2028553750.0,Europe,0.649,0.0,Christianity,976398
278,1995,Albania,2905092798.61916,Europe,0.0,0.0,Christianity,1049187
279,2000,Albania,3584570164.85195,Europe,0.678,0.0,Christianity,715990
280,2005,Albania,8256658249.8128,Europe,0.0,0.0,Christianity,837479
281,2010,Albania,12086545641.299,Europe,0.766,0.0,Christianity,685221
282,2010,Montenegro,4136936189.28052,Europe,0.806,0.0,Christianity,478002
283,1995,The Former Yugoslav Republic Of Macedonia,4707041315.24202,Europe,0.0,0.0,Christianity,1216107
284,2000,The Former Yugoslav Republic Of Macedonia,3772859034.20508,Europe,0.676,0.0,Christianity,1318658
285,2005,The Former Yugoslav Republic Of Macedonia,6258602872.67898,Europe,0.0,0.0,Christianity,1314733
286,2010,The Former Yugoslav Republic Of Macedonia,9407170321.37752,Europe,0.746,0.0,Christianity,1310808
287,1995,Croatia,22772394546.6058,Europe,0.0,1.0,Christianity,4188925
288,2000,Croatia,22134411297.473,Europe,0.764,0.0,Christianity,4154923
289,2005,Croatia,45013119281.806,Europe,0.0,0.0,Christianity,4098533
290,2010,Croatia,58975205417.3439,Europe,0.824,0.0,Christianity,4042145
291,1990,Serbia,0.0,Europe,0.689,0.0,Christianity,17356386
292,1995,Serbia,17921892655.3672,Europe,0.0,0.0,Christianity,7885123
293,2000,Serbia,7326373882.11044,Europe,0.689,0.0,Christianity,9757747
294,2005,Serbia,28334256180.8801,Europe,0.0,0.0,Christianity,7134892
295,2010,Serbia,43536629233.1424,Europe,0.768,0.0,Christianity,6652741
296,1995,Bosnia And Herzegovina,1866572953.73665,Europe,0.0,1.0,Christianity,2286840
297,2000,Bosnia And Herzegovina,5567772768.81188,Europe,0.656,0.0,Christianity,1986000
298,2005,Bosnia And Herzegovina,11222796336.5426,Europe,0.0,0.0,Christianity,1987185
299,2010,Bosnia And Herzegovina,17176315803.7298,Europe,0.718,0.0,Christianity,1988372
300,1995,Slovenia,21367422159.3207,Europe,0.0,0.0,Christianity,1780836
301,2000,Slovenia,20159190701.6789,Europe,0.823,0.0,Christianity,1580712
302,2005,Slovenia,35947936823.7781,Europe,0.0,0.0,Christianity,1478349
303,2010,Slovenia,47793117240.9001,Europe,0.89,0.0,Christianity,1375987
304,1990,Greece,96529587274.2906,Europe,0.762,0.0,Christianity,9754560
305,1995,Greece,134974613913.811,Europe,0.0,0.0,Christianity,10021758
306,2000,Greece,125760166224.805,Europe,0.818,0.0,Christianity,10176670
307,2005,Greece,242315668619.405,Europe,0.0,0.0,Christianity,10580420
308,2010,Greece,296417644404.034,Europe,0.874,0.0,Christianity,10682948
309,1990,Cyprus,5591130217.66965,Asia,0.733,0.0,Christianity,505680
310,1995,Cyprus,9933137128.07244,Asia,0.0,0.0,Christianity,519135
311,2000,Cyprus,9985847313.85485,Asia,0.797,0.0,Christianity,559042
312,2005,Cyprus,18433412510.8817,Asia,0.0,0.0,Christianity,576604
313,2010,Cyprus,25799940077.6075,Asia,0.859,0.0,Christianity,606674
314,1990,Bulgaria,20632090909.0909,Europe,0.698,0.0,Christianity,6884000
315,1995,Bulgaria,18991484420.36,Europe,0.0,0.0,Christianity,6629941
316,2000,Bulgaria,13245990274.4581,Europe,0.723,0.0,Christianity,6876100
317,2005,Bulgaria,29868657858.0082,Europe,0.0,0.0,Christianity,6403059
