,year,country,gdp,un_region,hdi,conflict_present,religion,relig_pop,prop_relig
856,1990,Indonesia,106140727333.636,Asia,0.526,1.0,Christianity,19334118,0.11051484863447918
857,1995,Indonesia,202132028723.115,Asia,0.0,0.0,Christianity,21812609,0.11333569236663596
858,2000,Indonesia,165021012077.81,Asia,0.597,1.0,Christianity,24291100,0.11568595234183199
859,2005,Indonesia,285868619196.085,Asia,0.0,1.0,Christianity,24867812,0.11239991211153555
860,2010,Indonesia,755094157621.936,Asia,0.667,0.0,Christianity,25444526,0.1094324174732381
1037,1990,Colombia,47844090709.9908,Southern America,0.614,1.0,Judaism,8750,0.0002820938131184907
1038,1995,Colombia,92507279383.0387,Southern America,0.0,1.0,Judaism,6500,0.0001925161166347934
1039,2000,Colombia,99875074951.0278,Southern America,0.672,1.0,Judaism,7500,0.00018729094116919342
1040,2005,Colombia,145600529605.803,Southern America,0.0,1.0,Judaism,7500,0.0001800776667773704
1041,2010,Colombia,286498534094.963,Southern America,0.732,1.0,Judaism,8095,0.0001800641673508141
1250,1990,Russian Federation,517014446227.929,Europe,0.741,1.0,Judaism,2854190,0.028396482747708295
1251,1995,Russian Federation,395537185734.854,Europe,0.0,1.0,Judaism,897498,0.018523154954988012
1252,2000,Russian Federation,259710142196.943,Europe,0.733,1.0,Judaism,622175,0.004824002284600341
1253,2005,Russian Federation,764015973481.11,Europe,0.0,1.0,Judaism,606000,0.004824005013144219
1254,2010,Russian Federation,1524916715223.95,Europe,0.797,1.0,Judaism,194000,0.0015853098197130106
1342,1990,Senegal,7390967360.42121,Africa,0.371,1.0,Judaism,0,0.0
1343,1995,Senegal,6326342633.4034,Africa,0.0,1.0,Judaism,0,0.0
1344,2000,Senegal,6013185003.97525,Africa,0.388,1.0,Judaism,0,0.0
1345,2005,Senegal,11009033437.939,Africa,0.0,0.0,Judaism,0,0.0
1346,2010,Senegal,16121315909.0758,Africa,0.47,0.0,Judaism,0,0.0
1377,1990,Liberia,384400000.0,Africa,0.434,1.0,Judaism,0,0.0
1378,1995,Liberia,134800000.0,Africa,0.0,1.0,Judaism,0,0.0
1379,2000,Liberia,874000000.0,Africa,0.434,1.0,Judaism,0,0.0
1380,2005,Liberia,949000000.0,Africa,0.0,0.0,Judaism,0,0.0
1381,2010,Liberia,1998000000.0,Africa,0.46,0.0,Judaism,0,0.0
1417,1990,Chad,1738605557.76313,Africa,0.292,1.0,Judaism,0,0.0
1418,1995,Chad,1445919894.57661,Africa,0.0,0.0,Judaism,0,0.0
1419,2000,Chad,1388506771.58756,Africa,0.292,1.0,Judaism,0,0.0
1420,2005,Chad,8655892392.92919,Africa,0.0,1.0,Judaism,0,0.0
1421,2010,Chad,14058506663.7252,Africa,0.364,1.0,Judaism,0,0.0
1427,1990,Democratic Republic Of The Congo,9349764580.41173,Africa,0.377,0.0,Judaism,420,1.242454308742796e-05
1428,1995,Democratic Republic Of The Congo,5643439376.10491,Africa,0.0,0.0,Judaism,441,1.0096908109229862e-05
1429,2000,Democratic Republic Of The Congo,19088046305.7971,Africa,0.376,1.0,Judaism,463,9.693654960569854e-06
1430,2005,Democratic Republic Of The Congo,12609728573.1032,Africa,0.0,1.0,Judaism,363,6.5712137824746486e-06
1431,2010,Democratic Republic Of The Congo,24161641931.0331,Africa,0.424,1.0,Judaism,407,6.348592906915246e-06
1432,1990,Uganda,4304399310.30967,Africa,0.329,1.0,Judaism,2000,0.00012873159918566965
1433,1995,Uganda,5755818842.49246,Africa,0.0,1.0,Judaism,2200,0.00012337912082057434
1434,2000,Uganda,6193246837.09687,Africa,0.392,1.0,Judaism,1500,7.270457127568411e-05
1435,2005,Uganda,9239221763.05793,Africa,0.0,1.0,Judaism,2676,0.00010899368121759464
