ISO Code;Country;UN Region;UN Sub Region;SDG Region;Development Regions;UNICEF Region;UNICEF Sub-Regions;WHO Region;World Bank Income Groups;World Bank Income Groups Combined;World Bank Regions
QAT;Qatar;Asia;Western Asia;Western Asia and Northern Africa;Less Developed;MENA;MENA;EMRO;High Income;High Income;Middle East & North Africa
KOR;Republic of Korea;Asia;Eastern Asia;Eastern Asia and South-eastern Asia;Less Developed;EAPRO;EAP;WPRO;High Income;High Income;East Asia & Pacific
MDA;Republic of Moldova;Europe;Eastern Europe;Northern America and Europe;More Developed;ECA;EECA;EURO;Lower Middle Income;Middle Income;Europe & Central Asia
ROU;Romania;Europe;Eastern Europe;Northern America and Europe;More Developed;ECA;EECA;EURO;Upper Middle Income;Middle Income;Europe & Central Asia
RUS;Russian Federation;Europe;Eastern Europe;Northern America and Europe;More Developed;ECA;EECA;EURO;Upper Middle Income;Middle Income;Europe & Central Asia
RWA;Rwanda;Africa;Eastern Africa;Sub-Saharan Africa;Least Developed;SSA;ESA;AFRO;Low Income;Low Income;Sub-Saharan Africa
KNA;Saint Kitts and Nevis;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean;Less Developed;LACRO;LAC;AMRO;High Income;High Income;Latin America & Caribbean
LCA;Saint Lucia;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean;Less Developed;LACRO;LAC;AMRO;Upper Middle Income;Middle Income;Latin America & Caribbean
VCT;Saint Vincent and the Grenadines;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean;Less Developed;LACRO;LAC;AMRO;Upper Middle Income;Middle Income;Latin America & Caribbean
WSM;Samoa;Oceania;Polynesia;Oceania excluding Australia and New Zealand;Less Developed;EAPRO;EAP;WPRO;Upper Middle Income;Middle Income;East Asia & Pacific
SMR;San Marino;Europe;Southern Europe;Northern America and Europe;More Developed;ECA;WE;EURO;High Income;High Income;Europe & Central Asia
STP;Sao Tome and Principe;Africa;Middle Africa;Sub-Saharan Africa;Least Developed;SSA;WCA;AFRO;Lower Middle Income;Middle Income;Sub-Saharan Africa
SAU;Saudi Arabia;Asia;Western Asia;Western Asia and Northern Africa;Less Developed;MENA;MENA;EMRO;High Income;High Income;Middle East & North Africa
SEN;Senegal;Africa;Western Africa;Sub-Saharan Africa;Least Developed;SSA;WCA;AFRO;Low Income;Low Income;Sub-Saharan Africa
SRB;Serbia;Europe;Southern Europe;Northern America and Europe;More Developed;ECA;EECA;EURO;Upper Middle Income;Middle Income;Europe & Central Asia
SYC;Seychelles;Africa;Eastern Africa;Sub-Saharan Africa;Less Developed;SSA;ESA;AFRO;High Income;High Income;Sub-Saharan Africa
SLE;Sierra Leone;Africa;Western Africa;Sub-Saharan Africa;Least Developed;SSA;WCA;AFRO;Low Income;Low Income;Sub-Saharan Africa
SGP;Singapore;Asia;South-Eastern Asia;Eastern Asia and South-eastern Asia;Less Developed;EAPRO;EAP;WPRO;High Income;High Income;East Asia & Pacific
SVK;Slovakia;Europe;Eastern Europe;Northern America and Europe;More Developed;ECA;WE;EURO;High Income;High Income;Europe & Central Asia
SVN;Slovenia;Europe;Southern Europe;Northern America and Europe;More Developed;ECA;WE;EURO;High Income;High Income;Europe & Central Asia
SLB;Solomon Islands;Oceania;Melanesia;Oceania excluding Australia and New Zealand;Least Developed;EAPRO;EAP;WPRO;Lower Middle Income;Middle Income;East Asia & Pacific
SOM;Somalia;Africa;Eastern Africa;Sub-Saharan Africa;Least Developed;SSA;ESA;EMRO;Low Income;Low Income;Sub-Saharan Africa
ZAF;South Africa;Africa;Southern Africa;Sub-Saharan Africa;Less Developed;SSA;ESA;AFRO;Upper Middle Income;Middle Income;Sub-Saharan Africa
SSD;South Sudan;Africa;Eastern Africa;Sub-Saharan Africa;Least Developed;SSA;ESA;EURO;Low Income;Low Income;Sub-Saharan Africa
ESP;Spain;Europe;Southern Europe;Northern America and Europe;More Developed;ECA;WE;AFRO;High Income;High Income;Europe & Central Asia
LKA;Sri Lanka;Asia;Southern Asia;Central Asia and Southern Asia;Less Developed;ROSA;SA;SEARO;Lower Middle Income;Middle Income;South Asia
PSE;State of Palestine;Asia;Western Asia;Western Asia and Northern Africa;Less Developed;MENA;MENA;Not Classified;Lower Middle Income;Middle Income;Middle East & North Africa
SDN;Sudan;Africa;Northern Africa;Western Asia and Northern Africa;Least Developed;SSA;ESA;EMRO;Lower Middle Income;Middle Income;Sub-Saharan Africa
SUR;Suriname;Latin America and the Caribbean;South America;Latin America and the Caribbean;Less Developed;LACRO;LAC;AMRO;Upper Middle Income;Middle Income;Latin America & Caribbean
SWZ;Swaziland;Africa;Southern Africa;Sub-Saharan Africa;Less Developed;SSA;ESA;AFRO;Lower Middle Income;Middle Income;Sub-Saharan Africa
SWE;Sweden;Europe;Northern Europe;Northern America and Europe;More Developed;ECA;WE;EURO;High Income;High Income;Europe & Central Asia
CHE;Switzerland;Europe;Western Europe;Northern America and Europe;More Developed;ECA;WE;EURO;High Income;High Income;Europe & Central Asia
SYR;Syrian Arab Republic;Asia;Western Asia;Western Asia and Northern Africa;Less Developed;MENA;MENA;EMRO;Lower Middle Income;Middle Income;Middle East & North Africa
TJK;Tajikistan;Asia;Central Asia;Central Asia and Southern Asia;Less Developed;ECA;EECA;EURO;Lower Middle Income;Middle Income;Europe & Central Asia
THA;Thailand;Asia;South-Eastern Asia;Eastern Asia and South-eastern Asia;Less Developed;EAPRO;EAP;SEARO;Upper Middle Income;Middle Income;East Asia & Pacific
MKD;The former Yugoslav Republic of Macedonia;Europe;Southern Europe;Northern America and Europe;More Developed;ECA;EECA;EURO;Upper Middle Income;Middle Income;Europe & Central Asia
TLS;Timor-Leste;Asia;South-Eastern Asia;Eastern Asia and South-eastern Asia;Least Developed;EAPRO;EAP;SEARO;Lower Middle Income;Middle Income;East Asia & Pacific
TGO;Togo;Africa;Western Africa;Sub-Saharan Africa;Least Developed;SSA;WCA;AFRO;Low Income;Low Income;Sub-Saharan Africa
