hdi_rank,country,hdi_1990,hdi_2000,hdi_2010,hdi_2015,hdi_2019,hdi_2020,hdi_2021,hdi_2022,avg_growth_1990_2022
132.0,Tuvalu,0.564,0.599,0.623,0.656,0.654,0.655,0.653,0.653,0.458933883628232
133.0,Equatorial Guinea,,0.511,0.609,0.648,0.653,0.65,0.647,0.65,
134.0,India,0.434,0.49,0.572,0.619,0.638,0.638,0.633,0.644,1.24093078573388
135.0,Micronesia (Federated States of),,0.637,0.644,0.642,0.64,0.636,0.634,0.634,
136.0,Guatemala,0.49,0.551,0.613,0.629,0.645,0.638,0.63,0.629,0.783446335383564
137.0,Kiribati,,0.547,0.584,0.625,0.636,0.629,0.627,0.628,
138.0,Honduras,0.513,0.553,0.596,0.61,0.629,0.621,0.62,0.624,0.61398509353614
139.0,Lao People's Democratic Republic,0.408,0.473,0.557,0.604,0.617,0.616,0.615,0.62,1.31625075754418
140.0,Vanuatu,,,0.578,0.592,0.614,0.612,0.614,0.614,
141.0,Sao Tome and Principe,0.48,0.498,0.553,0.595,0.608,0.609,0.609,0.613,0.767237145852584
142.0,Namibia,0.595,0.549,0.584,0.627,0.638,0.634,0.616,0.61,0.0778351246419007
144.0,Myanmar,0.333,0.407,0.506,0.557,0.608,0.615,0.599,0.608,1.8991601445747
145.0,Ghana,0.445,0.5,0.571,0.586,0.599,0.601,0.6,0.602,0.948795176758388
146.0,Kenya,0.48,0.487,0.545,0.575,0.604,0.599,0.596,0.601,0.705001109823145
146.0,Nepal,0.395,0.461,0.543,0.568,0.598,0.593,0.591,0.601,1.32023024040531
148.0,Cambodia,0.379,0.431,0.542,0.564,0.596,0.596,0.596,0.6,1.44595882308303
149.0,Congo,0.541,0.509,0.581,0.61,0.596,0.598,0.598,0.593,0.287208907233039
150.0,Angola,,0.38,0.516,0.591,0.597,0.594,0.59,0.591,
151.0,Cameroon,0.44,0.426,0.515,0.562,0.586,0.585,0.581,0.587,0.904850786441092
152.0,Comoros,,0.458,0.524,0.556,0.584,0.588,0.585,0.586,
153.0,Zambia,0.417,0.418,0.528,0.563,0.574,0.569,0.565,0.569,0.975963677065517
